time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,1,6,0,idle
2,2,departure,3,5,1,working
3,3,arrival,2,9,1,working
4,4,arrival,3,9,0,working
5,5,departure,1,1,1,working
6,6,departure,2,8,1,working
7,7,departure,1,4,1,idle
8,8,departure,1,8,0,working
9,9,departure,1,1,1,working
10,10,departure,0,6,1,working
11,11,arrival,3,8,1,idle
12,12,departure,1,4,1,idle
13,13,departure,0,7,0,idle
14,14,departure,3,9,1,working
15,15,arrival,4,0,1,working
16,16,departure,0,3,1,working
17,17,arrival,0,7,1,working
18,18,arrival,4,0,1,idle
19,19,arrival,4,4,1,working
20,20,arrival,4,0,1,working
21,21,departure,1,8,1,idle
22,22,departure,4,0,1,idle
23,23,arrival,4,0,1,idle
24,24,departure,2,7,1,working
25,25,departure,4,8,0,idle
26,26,departure,0,6,0,idle
27,27,departure,2,1,1,working
28,28,departure,2,3,0,idle
29,29,departure,4,6,0,working
30,30,arrival,0,0,0,idle
31,31,departure,4,8,1,idle
32,32,arrival,2,1,1,working
33,33,arrival,3,5,1,working
34,34,arrival,1,3,0,working
35,35,arrival,3,1,0,idle
36,36,departure,1,6,0,idle
37,37,departure,1,8,1,idle
38,38,arrival,0,7,1,working
39,39,arrival,3,3,1,working
40,40,departure,3,8,0,idle
41,41,departure,0,2,0,working
42,42,departure,3,3,0,working
43,43,departure,3,7,0,working
44,44,departure,0,9,0,working
45,45,departure,3,5,1,working
46,46,arrival,1,0,1,working
47,47,arrival,3,8,1,working
48,48,arrival,0,1,0,working
49,49,departure,2,3,1,working
50,50,departure,0,1,1,working
51,51,departure,3,6,0,idle
52,52,arrival,3,2,1,idle
53,53,departure,1,5,0,working
54,54,departure,2,9,0,idle
55,55,departure,2,8,1,idle
56,56,arrival,0,0,1,idle
57,57,arrival,1,4,1,idle
58,58,departure,4,9,0,working
59,59,departure,3,6,1,working
60,60,arrival,2,2,0,idle
61,61,departure,3,5,1,idle
62,62,arrival,3,1,0,idle
63,63,arrival,2,6,1,idle
64,64,departure,2,7,1,idle
65,65,arrival,3,9,0,working
66,66,arrival,3,7,1,idle
67,67,departure,2,4,1,working
68,68,arrival,4,9,1,idle
69,69,departure,4,7,0,working
70,70,arrival,0,6,1,idle
