time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,2,9,0,idle
2,2,arrival,4,3,1,idle
3,3,arrival,4,2,0,working
4,4,arrival,2,9,0,idle
5,5,departure,4,6,0,idle
6,6,arrival,3,0,1,working
7,7,arrival,3,5,0,working
8,8,arrival,3,4,1,idle
9,9,departure,0,3,0,working
10,10,departure,0,0,1,working
11,11,departure,1,0,1,working
12,12,arrival,3,6,1,working
13,13,arrival,0,6,1,working
14,14,arrival,0,1,0,idle
15,15,departure,1,0,0,working
16,16,departure,3,1,0,idle
17,17,arrival,1,3,1,idle
18,18,arrival,4,8,1,working
19,19,arrival,1,4,1,working
20,20,departure,2,9,0,working
21,21,departure,3,8,0,working
22,22,departure,4,7,1,idle
23,23,arrival,2,9,1,idle
24,24,arrival,4,5,0,idle
25,25,arrival,2,9,0,working
26,26,arrival,4,6,0,idle
27,27,arrival,2,3,1,idle
28,28,departure,3,2,0,idle
29,29,departure,4,7,1,working
30,30,departure,1,3,0,working
31,31,departure,4,5,1,idle
32,32,arrival,0,4,1,working
33,33,departure,4,3,1,working
34,34,departure,3,9,1,working
35,35,departure,0,4,0,idle
36,36,departure,0,9,1,working
37,37,arrival,4,8,0,working
38,38,arrival,2,5,0,idle
39,39,arrival,1,6,0,working
40,40,departure,3,4,1,idle
41,41,departure,4,4,0,working
42,42,arrival,4,5,1,working
43,43,departure,0,1,0,working
44,44,arrival,4,9,0,working
45,45,departure,0,2,1,idle
46,46,departure,1,9,1,working
47,47,departure,4,9,0,idle
48,48,arrival,2,4,1,idle
49,49,arrival,3,6,0,idle
50,50,arrival,3,0,0,idle
51,51,departure,3,9,0,working
52,52,departure,1,3,0,working
53,53,departure,1,2,1,working
54,54,arrival,3,4,1,idle
55,55,arrival,3,7,1,working
56,56,arrival,3,2,1,working
57,57,arrival,0,7,1,working
58,58,arrival,1,1,0,working
59,59,departure,1,6,1,idle
60,60,departure,1,2,1,working
61,61,departure,2,1,1,working
62,62,departure,2,3,0,working
63,63,departure,2,9,1,working
64,64,arrival,1,5,1,idle
65,65,arrival,0,0,0,idle
66,66,arrival,1,4,0,working
67,67,departure,2,0,0,idle
68,68,arrival,2,9,0,working
69,69,arrival,1,5,1,idle
70,70,arrival,4,8,0,idle
71,71,departure,4,3,1,idle
72,72,arrival,4,4,0,idle
73,73,arrival,3,1,1,working
74,74,arrival,1,7,1,idle
75,75,departure,2,7,0,working
76,76,arrival,1,3,0,working
77,77,arrival,1,1,1,working
78,78,arrival,3,4,1,idle
79,79,departure,2,0,0,working
80,80,departure,2,1,1,working
81,81,arrival,2,9,1,working
82,82,arrival,0,9,1,idle
83,83,arrival,1,0,0,idle
84,84,arrival,0,7,0,working
85,85,departure,2,7,1,working
86,86,arrival,1,4,1,idle
87,87,departure,2,2,0,idle
88,88,departure,3,0,1,idle
89,89,departure,2,3,1,idle
90,90,arrival,3,4,1,idle
91,91,departure,1,7,0,working
92,92,arrival,4,4,0,idle
93,93,arrival,0,0,1,working
94,94,departure,0,9,1,working
95,95,departure,1,3,0,idle
96,96,departure,0,1,1,working
97,97,arrival,0,0,0,idle
98,98,departure,3,4,1,working
99,99,arrival,3,0,0,working
100,100,departure,3,9,1,idle
101,101,departure,1,4,0,idle
102,102,arrival,1,5,0,idle
103,103,arrival,0,9,0,working
104,104,arrival,2,6,1,idle
105,105,arrival,3,6,0,idle
106,106,departure,0,3,0,working
107,107,departure,0,5,1,idle
108,108,arrival,2,1,1,working
109,109,departure,0,9,0,working
110,110,arrival,2,3,0,idle
111,111,departure,1,7,1,idle
112,112,departure,4,3,1,working
113,113,departure,3,6,1,idle
114,114,arrival,2,1,0,working
115,115,departure,2,5,0,idle
116,116,arrival,1,0,1,working
117,117,arrival,3,5,1,idle
118,118,arrival,2,8,1,working
119,119,departure,3,3,1,working
120,120,arrival,4,5,0,working
121,121,arrival,0,8,0,working
