time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,0,5,0,working
2,2,departure,4,5,1,working
3,3,departure,3,8,1,working
4,4,departure,3,0,0,idle
5,5,departure,4,5,0,idle
6,6,departure,3,5,1,working
7,7,arrival,3,3,0,idle
8,8,arrival,3,5,1,idle
9,9,departure,4,0,0,working
10,10,departure,3,9,0,idle
11,11,arrival,1,5,0,idle
12,12,arrival,1,5,0,idle
13,13,arrival,3,0,1,working
14,14,arrival,0,5,1,idle
15,15,departure,2,5,1,idle
16,16,arrival,2,4,0,idle
17,17,departure,4,5,0,idle
18,18,arrival,3,5,0,idle
19,19,arrival,2,0,1,working
20,20,departure,0,4,1,working
21,21,departure,1,1,1,working
22,22,arrival,2,7,0,idle
23,23,departure,0,2,0,idle
24,24,arrival,4,1,0,idle
25,25,arrival,0,2,0,idle
26,26,departure,1,9,1,idle
27,27,departure,4,6,0,working
28,28,departure,0,9,0,working
29,29,departure,1,1,1,idle
30,30,departure,2,1,1,working
31,31,arrival,1,7,1,working
32,32,departure,3,4,1,working
33,33,arrival,1,5,1,idle
34,34,departure,1,4,1,idle
35,35,departure,2,4,0,idle
36,36,arrival,1,6,0,working
37,37,arrival,2,7,0,idle
38,38,arrival,2,3,0,working
39,39,arrival,3,2,0,working
40,40,arrival,2,3,1,idle
41,41,arrival,4,2,1,working
42,42,arrival,0,7,1,idle
43,43,departure,0,2,0,working
44,44,arrival,2,7,0,working
45,45,arrival,0,2,0,idle
46,46,departure,4,9,1,idle
47,47,departure,3,2,0,working
48,48,departure,3,8,0,working
49,49,departure,0,5,1,working
50,50,arrival,3,5,1,working
51,51,arrival,0,6,1,working
52,52,departure,4,1,1,idle
53,53,arrival,1,8,0,idle
54,54,departure,3,4,1,working
55,55,departure,0,9,0,idle
56,56,arrival,4,0,1,working
57,57,departure,0,4,0,idle
58,58,departure,1,9,0,working
59,59,arrival,0,7,1,working
60,60,arrival,0,6,0,idle
61,61,arrival,1,1,0,working
62,62,arrival,2,3,1,working
63,63,departure,4,6,1,idle
64,64,arrival,1,1,0,working
65,65,departure,2,9,1,working
66,66,arrival,2,4,1,idle
67,67,arrival,3,2,0,working
68,68,departure,0,2,1,working
69,69,departure,3,1,0,working
70,70,departure,1,6,1,working
71,71,arrival,2,5,0,idle
72,72,departure,1,9,1,working
73,73,departure,3,8,0,working
74,74,arrival,1,6,1,working
75,75,arrival,1,8,0,idle
76,76,arrival,4,3,1,working
77,77,arrival,0,0,0,working
78,78,arrival,0,5,0,idle
79,79,arrival,2,0,0,idle
80,80,arrival,2,8,0,working
81,81,arrival,0,9,0,working
82,82,departure,1,0,0,idle
83,83,departure,4,2,0,idle
84,84,departure,1,4,0,working
85,85,departure,4,2,1,idle
86,86,departure,1,8,0,idle
87,87,departure,0,4,1,idle
88,88,arrival,1,8,0,idle
89,89,arrival,0,0,0,working
90,90,departure,0,2,0,idle
91,91,departure,0,4,1,working
92,92,departure,4,5,0,working
93,93,departure,0,0,1,working
94,94,departure,3,0,0,idle
95,95,arrival,0,5,0,working
96,96,departure,4,0,1,working
97,97,arrival,4,2,0,idle
98,98,departure,3,6,0,idle
99,99,arrival,3,7,1,idle
100,100,arrival,2,2,0,idle
101,101,departure,0,9,0,working
102,102,departure,1,3,0,working
103,103,departure,1,0,1,idle
104,104,arrival,3,6,1,working
105,105,departure,3,4,1,idle
106,106,departure,1,7,0,working
107,107,departure,4,2,0,working
108,108,departure,0,8,0,working
109,109,arrival,0,6,0,idle
110,110,departure,3,2,1,working
111,111,departure,2,8,0,idle
112,112,departure,1,4,1,working
113,113,arrival,2,9,1,idle
114,114,departure,0,2,0,idle
115,115,departure,3,5,1,idle
116,116,departure,3,6,1,working
117,117,departure,4,7,0,idle
118,118,arrival,1,5,0,idle
119,119,departure,2,6,1,idle
120,120,arrival,4,5,1,idle
121,121,departure,2,6,0,working
122,122,arrival,3,0,1,idle
123,123,arrival,4,6,1,working
124,124,arrival,4,7,1,idle
125,125,departure,0,6,1,working
126,126,departure,2,7,0,working
127,127,departure,4,5,0,working
128,128,arrival,1,8,0,working
129,129,departure,4,0,0,idle
130,130,departure,2,2,0,working
131,131,departure,1,4,1,idle
132,132,arrival,0,6,1,working
133,133,departure,4,1,1,idle
134,134,arrival,2,6,0,working
135,135,arrival,3,4,0,idle
136,136,arrival,1,2,1,working
137,137,departure,3,2,0,idle
138,138,departure,3,4,1,idle
139,139,departure,2,4,0,working
140,140,arrival,3,0,0,idle
141,141,departure,0,1,1,working
142,142,departure,2,5,1,idle
143,143,arrival,1,0,0,idle
144,144,arrival,2,2,1,idle
145,145,arrival,1,6,0,working
146,146,arrival,2,7,1,working
147,147,arrival,1,8,1,idle
148,148,arrival,1,7,0,working
149,149,arrival,3,1,1,working
150,150,departure,1,0,1,working
151,151,departure,1,1,1,working
152,152,departure,3,8,1,working
153,153,arrival,3,5,1,working
154,154,departure,2,7,0,working
155,155,arrival,2,3,1,working
156,156,departure,2,0,1,working
157,157,departure,1,6,0,idle
158,158,departure,0,8,1,idle
159,159,departure,4,8,1,idle
160,160,arrival,4,3,0,idle
161,161,arrival,3,8,1,working
162,162,departure,3,1,0,working
163,163,arrival,1,6,0,working
164,164,arrival,2,1,1,idle
165,165,departure,3,3,0,working
166,166,departure,4,4,0,working
167,167,arrival,2,3,0,idle
168,168,departure,2,2,1,idle
169,169,arrival,3,8,1,idle
170,170,departure,1,6,0,idle
171,171,departure,2,6,1,idle
172,172,departure,2,4,0,idle
173,173,departure,3,7,1,idle
174,174,departure,1,4,0,working
175,175,arrival,1,4,1,working
176,176,departure,2,8,1,working
177,177,arrival,3,9,1,idle
178,178,departure,0,6,0,idle
179,179,departure,2,6,0,working
180,180,arrival,3,4,1,idle
181,181,departure,2,2,0,idle
182,182,arrival,4,3,0,working
