time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,2,5,0,idle
2,2,departure,3,8,1,working
3,3,arrival,0,5,1,idle
4,4,arrival,0,8,0,idle
5,5,departure,1,9,0,working
6,6,arrival,1,0,1,working
7,7,departure,2,6,0,idle
8,8,departure,0,8,0,idle
9,9,arrival,4,2,0,idle
10,10,departure,2,4,0,idle
11,11,departure,1,6,0,working
12,12,departure,0,4,0,idle
13,13,departure,2,5,1,working
14,14,departure,1,5,1,working
15,15,arrival,4,2,1,working
16,16,arrival,1,0,0,idle
17,17,arrival,3,6,0,working
18,18,arrival,2,3,0,idle
19,19,arrival,0,0,0,idle
20,20,departure,1,7,1,idle
21,21,departure,2,8,0,idle
22,22,arrival,1,3,0,idle
23,23,arrival,0,2,1,idle
24,24,arrival,0,9,1,idle
25,25,departure,0,9,1,idle
26,26,arrival,0,4,0,idle
27,27,arrival,1,3,1,idle
28,28,arrival,3,2,0,working
29,29,arrival,3,3,1,idle
30,30,departure,1,4,1,working
31,31,arrival,1,0,1,idle
32,32,arrival,1,9,0,working
33,33,departure,2,7,0,idle
34,34,arrival,2,1,0,idle
35,35,departure,3,0,1,idle
36,36,departure,3,0,0,working
37,37,departure,4,0,0,working
38,38,departure,1,1,0,idle
39,39,departure,0,4,1,idle
40,40,arrival,3,9,0,working
41,41,departure,4,2,1,working
42,42,departure,3,1,0,idle
43,43,arrival,4,1,1,working
44,44,departure,3,5,1,idle
45,45,arrival,0,4,0,working
46,46,arrival,2,6,1,working
47,47,departure,4,3,0,working
48,48,departure,1,6,1,working
49,49,departure,1,8,1,idle
50,50,arrival,3,2,1,working
51,51,departure,3,0,1,idle
52,52,arrival,1,7,0,idle
53,53,departure,0,8,0,working
54,54,arrival,2,0,0,idle
55,55,departure,2,1,0,working
56,56,departure,4,0,0,idle
57,57,arrival,1,8,0,working
58,58,departure,1,7,0,idle
59,59,arrival,0,9,0,idle
60,60,arrival,3,7,0,working
61,61,departure,1,8,1,idle
62,62,arrival,2,6,0,working
63,63,departure,2,2,0,idle
64,64,arrival,2,3,0,working
65,65,arrival,1,4,0,idle
66,66,arrival,1,9,0,working
67,67,arrival,4,2,1,idle
68,68,departure,0,5,0,working
69,69,arrival,2,0,1,idle
70,70,arrival,4,5,0,working
71,71,arrival,1,3,1,idle
72,72,departure,0,2,0,working
73,73,departure,4,6,1,idle
74,74,arrival,1,3,1,idle
75,75,departure,4,7,1,idle
76,76,departure,1,8,0,working
77,77,arrival,3,3,1,idle
78,78,departure,3,6,1,idle
79,79,arrival,0,9,1,idle
80,80,departure,2,3,1,working
81,81,departure,1,5,1,idle
82,82,departure,3,1,0,idle
83,83,departure,4,5,0,working
84,84,departure,4,4,0,working
85,85,departure,2,0,0,working
86,86,departure,2,4,0,working
87,87,departure,4,4,0,idle
88,88,departure,3,7,1,idle
89,89,departure,2,3,0,idle
90,90,arrival,1,2,0,idle
91,91,departure,0,3,0,working
92,92,arrival,0,6,0,working
93,93,arrival,2,3,0,working
94,94,departure,1,8,1,working
95,95,departure,2,0,1,idle
96,96,arrival,3,4,0,working
97,97,departure,4,6,0,idle
98,98,arrival,0,8,1,idle
99,99,arrival,1,6,0,idle
100,100,arrival,4,3,0,idle
101,101,departure,4,4,0,idle
102,102,arrival,3,5,0,working
103,103,departure,0,0,0,idle
104,104,arrival,4,1,1,working
105,105,departure,1,5,1,working
106,106,departure,0,9,1,idle
107,107,departure,4,5,0,working
108,108,arrival,0,4,0,idle
109,109,arrival,3,8,0,working
110,110,departure,4,7,1,idle
111,111,departure,3,3,0,idle
112,112,departure,4,6,0,working
113,113,departure,1,9,1,idle
114,114,arrival,2,0,1,working
115,115,arrival,1,0,1,working
116,116,departure,1,4,0,idle
117,117,departure,3,6,1,working
118,118,departure,1,5,1,idle
119,119,arrival,3,3,1,idle
120,120,arrival,1,2,0,working
121,121,arrival,2,8,1,working
122,122,departure,0,7,0,working
123,123,arrival,4,1,0,working
124,124,departure,4,6,0,working
125,125,departure,4,0,0,working
126,126,arrival,0,7,0,idle
127,127,departure,3,2,0,idle
128,128,arrival,3,9,0,working
129,129,arrival,1,6,0,idle
130,130,departure,0,1,1,working
131,131,departure,3,2,0,idle
132,132,departure,4,6,1,idle
133,133,departure,0,0,0,idle
134,134,arrival,4,3,1,idle
135,135,arrival,3,4,1,working
136,136,arrival,2,2,0,working
137,137,departure,0,9,0,idle
138,138,departure,1,4,0,working
139,139,arrival,2,8,1,working
140,140,arrival,2,4,0,idle
141,141,departure,0,4,1,idle
142,142,arrival,4,7,0,working
143,143,departure,3,5,1,working
144,144,arrival,4,7,1,working
145,145,departure,3,3,0,idle
146,146,arrival,1,0,1,working
147,147,departure,1,2,0,working
148,148,arrival,1,2,1,working
149,149,arrival,3,1,1,idle
150,150,departure,4,3,0,idle
151,151,arrival,3,8,1,idle
152,152,departure,1,5,1,working
153,153,arrival,3,8,0,working
154,154,arrival,1,3,1,idle
155,155,departure,1,9,0,idle
156,156,departure,3,5,0,working
157,157,arrival,3,2,1,idle
158,158,arrival,4,9,0,working
159,159,departure,2,7,0,idle
160,160,arrival,1,2,1,working
161,161,departure,0,6,1,idle
162,162,departure,3,1,0,idle
163,163,departure,0,9,1,idle
164,164,departure,0,2,1,working
165,165,departure,4,4,0,idle
166,166,departure,2,6,0,idle
167,167,departure,2,6,0,idle
168,168,arrival,0,8,1,idle
169,169,arrival,1,5,0,idle
170,170,arrival,3,5,1,idle
171,171,arrival,3,0,1,idle
172,172,arrival,2,6,0,working
173,173,arrival,0,9,0,working
174,174,arrival,2,9,0,working
175,175,departure,2,4,1,working
176,176,departure,0,4,1,idle
177,177,departure,4,4,0,idle
178,178,departure,0,0,1,working
179,179,arrival,0,0,0,idle
180,180,arrival,2,2,0,working
181,181,departure,1,9,1,working
182,182,departure,1,6,0,idle
183,183,departure,2,3,1,working
184,184,departure,0,3,0,idle
185,185,arrival,1,4,1,idle
186,186,departure,0,7,1,idle
187,187,arrival,1,2,1,working
188,188,departure,2,8,1,idle
189,189,arrival,4,3,0,working
190,190,departure,4,2,1,idle
191,191,departure,0,7,1,working
192,192,departure,2,0,0,working
193,193,arrival,0,4,0,idle
194,194,departure,0,2,0,idle
195,195,departure,0,4,0,idle
196,196,arrival,0,5,1,working
197,197,arrival,1,0,1,idle
198,198,departure,4,4,1,idle
199,199,arrival,3,3,0,working
200,200,departure,1,9,1,idle
201,201,arrival,4,3,1,working
202,202,departure,1,5,1,idle
203,203,departure,2,1,0,idle
204,204,arrival,0,8,1,idle
