time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,1,4,0,working
2,2,departure,1,6,0,working
3,3,arrival,4,6,1,idle
4,4,arrival,3,1,0,working
5,5,arrival,2,9,0,idle
6,6,departure,0,2,1,idle
7,7,arrival,2,4,0,idle
8,8,arrival,3,3,0,working
9,9,arrival,3,8,1,idle
10,10,departure,1,2,0,working
11,11,arrival,1,9,0,working
12,12,arrival,1,3,1,idle
13,13,arrival,1,3,0,idle
14,14,arrival,2,2,1,idle
15,15,arrival,3,5,1,idle
16,16,arrival,2,2,1,idle
17,17,arrival,0,6,0,idle
18,18,arrival,3,4,1,working
19,19,arrival,0,6,0,idle
20,20,departure,3,1,1,working
21,21,departure,2,5,0,idle
22,22,departure,1,6,0,idle
23,23,departure,4,4,0,working
24,24,arrival,4,8,1,working
25,25,departure,1,4,1,working
26,26,arrival,3,7,0,idle
27,27,departure,1,4,0,idle
28,28,arrival,1,7,0,working
29,29,arrival,4,4,0,idle
30,30,arrival,2,0,1,working
31,31,departure,3,5,0,working
32,32,departure,1,6,1,idle
33,33,arrival,1,0,1,idle
34,34,departure,1,5,1,working
35,35,departure,0,7,0,idle
36,36,arrival,1,5,1,working
37,37,arrival,2,9,0,idle
38,38,departure,4,8,1,idle
39,39,departure,2,4,1,idle
40,40,arrival,4,3,0,working
41,41,departure,4,2,1,idle
42,42,departure,2,6,1,working
43,43,arrival,0,5,1,working
44,44,departure,2,4,0,idle
45,45,arrival,1,2,0,idle
46,46,departure,0,2,1,idle
47,47,departure,1,1,1,idle
48,48,arrival,4,1,0,working
49,49,arrival,2,5,0,idle
50,50,arrival,4,9,0,working
51,51,departure,3,5,0,working
52,52,departure,0,6,1,working
53,53,departure,0,3,0,idle
54,54,departure,0,5,0,working
55,55,departure,2,1,1,idle
56,56,departure,4,0,1,idle
57,57,arrival,1,3,1,idle
58,58,arrival,0,3,1,idle
59,59,arrival,1,5,0,working
60,60,arrival,3,3,0,idle
61,61,arrival,3,3,1,working
62,62,departure,4,9,1,idle
63,63,arrival,2,8,0,idle
64,64,departure,0,5,1,working
65,65,arrival,4,9,0,working
66,66,departure,0,9,0,working
67,67,arrival,4,3,0,idle
68,68,departure,0,6,1,idle
69,69,departure,3,4,1,working
70,70,departure,2,9,1,working
71,71,departure,3,4,0,idle
72,72,arrival,4,2,0,idle
73,73,arrival,0,6,0,idle
74,74,departure,4,8,1,working
75,75,arrival,1,4,0,working
76,76,departure,0,5,1,working
77,77,arrival,0,6,1,idle
78,78,arrival,3,0,0,idle
79,79,departure,4,6,1,working
80,80,arrival,3,8,0,working
81,81,arrival,4,7,1,working
82,82,departure,2,4,1,working
83,83,arrival,2,0,0,idle
84,84,arrival,4,2,0,idle
85,85,departure,3,8,0,working
86,86,departure,4,5,1,idle
87,87,arrival,0,6,1,idle
88,88,departure,4,9,0,working
89,89,departure,0,8,1,working
90,90,arrival,3,1,0,working
91,91,departure,3,6,0,idle
92,92,departure,1,2,1,idle
93,93,arrival,3,4,0,working
94,94,departure,1,7,1,working
95,95,arrival,0,5,1,working
96,96,arrival,3,6,0,working
97,97,arrival,2,6,1,working
98,98,departure,4,0,1,working
99,99,arrival,3,8,0,working
100,100,arrival,1,0,0,working
101,101,arrival,1,6,0,idle
102,102,arrival,1,4,0,working
103,103,arrival,3,2,0,idle
104,104,arrival,0,5,1,working
105,105,departure,0,6,0,idle
106,106,arrival,0,7,0,working
107,107,departure,4,5,0,idle
108,108,departure,2,5,0,working
109,109,departure,0,9,0,working
110,110,departure,1,9,0,idle
111,111,arrival,0,4,1,working
112,112,departure,4,6,1,working
113,113,arrival,3,1,1,working
114,114,departure,0,7,1,working
115,115,arrival,2,5,1,working
116,116,departure,0,1,0,working
117,117,arrival,2,4,1,idle
118,118,arrival,4,9,1,idle
119,119,arrival,0,8,0,idle
120,120,departure,3,7,0,working
121,121,arrival,3,4,1,idle
122,122,arrival,2,5,1,working
123,123,departure,3,0,0,idle
124,124,arrival,4,7,1,working
125,125,arrival,1,9,1,working
126,126,departure,2,5,0,working
127,127,arrival,3,4,0,idle
128,128,departure,4,6,0,working
129,129,arrival,1,0,0,idle
130,130,departure,0,3,0,working
131,131,departure,1,3,1,working
132,132,arrival,3,1,0,working
133,133,arrival,2,1,1,idle
134,134,arrival,1,6,1,working
135,135,departure,1,9,0,working
136,136,arrival,1,7,1,working
137,137,departure,2,8,0,idle
138,138,arrival,3,7,1,idle
139,139,departure,0,8,1,idle
140,140,departure,4,9,0,working
141,141,departure,2,8,1,idle
142,142,arrival,0,5,0,idle
143,143,arrival,2,1,1,working
144,144,departure,4,7,0,working
145,145,departure,4,1,0,idle
146,146,arrival,4,4,1,idle
147,147,arrival,2,9,0,idle
148,148,arrival,3,0,0,working
149,149,departure,1,3,1,working
150,150,departure,2,1,0,idle
151,151,departure,3,9,0,working
152,152,arrival,2,3,0,working
153,153,arrival,4,0,0,idle
154,154,arrival,4,2,0,working
155,155,arrival,1,5,0,idle
156,156,departure,1,0,0,idle
157,157,arrival,2,4,0,idle
158,158,arrival,0,0,1,idle
159,159,departure,2,6,1,idle
160,160,arrival,3,7,1,idle
161,161,arrival,4,1,0,working
162,162,departure,2,0,0,idle
163,163,departure,1,4,0,idle
164,164,arrival,4,5,0,idle
165,165,departure,3,3,1,working
166,166,departure,4,0,1,idle
167,167,departure,4,0,1,working
168,168,arrival,4,8,0,idle
169,169,departure,3,3,1,idle
170,170,arrival,0,0,1,working
171,171,arrival,0,3,0,idle
172,172,arrival,1,6,1,idle
173,173,arrival,0,8,1,idle
174,174,departure,0,6,1,idle
175,175,departure,0,7,1,idle
176,176,departure,0,7,1,working
177,177,departure,1,7,0,idle
178,178,arrival,3,9,0,idle
179,179,departure,0,0,0,working
180,180,departure,3,1,0,working
181,181,arrival,3,3,0,working
182,182,arrival,3,1,0,idle
183,183,arrival,2,5,0,idle
184,184,departure,0,6,1,idle
185,185,arrival,1,3,1,working
186,186,arrival,1,5,0,idle
187,187,departure,0,1,1,idle
188,188,arrival,4,6,1,working
189,189,arrival,1,5,1,idle
190,190,departure,1,3,0,working
191,191,arrival,2,2,1,working
192,192,departure,3,8,1,idle
193,193,departure,4,8,1,idle
194,194,arrival,4,0,0,working
195,195,arrival,0,7,1,idle
196,196,arrival,3,1,1,idle
197,197,arrival,2,2,0,working
198,198,departure,2,5,1,working
199,199,arrival,1,0,0,working
200,200,departure,3,3,1,working
201,201,departure,0,6,1,working
202,202,departure,3,5,0,idle
203,203,arrival,0,3,0,working
204,204,departure,1,5,1,idle
205,205,departure,2,7,1,idle
206,206,arrival,1,4,0,idle
207,207,departure,3,8,0,idle
208,208,departure,2,1,0,idle
209,209,departure,1,2,1,idle
210,210,departure,0,5,0,idle
211,211,departure,4,0,0,working
212,212,arrival,1,5,0,idle
213,213,departure,0,2,1,working
214,214,departure,2,2,1,working
215,215,arrival,4,0,0,working
216,216,arrival,2,5,1,working
217,217,arrival,2,4,1,idle
218,218,departure,2,9,1,working
219,219,departure,0,6,0,idle
220,220,departure,3,8,1,idle
221,221,departure,0,6,0,working
222,222,departure,4,4,0,idle
223,223,departure,2,9,0,idle
224,224,arrival,3,6,1,working
225,225,departure,1,7,0,working
226,226,departure,2,3,0,working
227,227,arrival,4,6,0,working
228,228,arrival,1,6,1,idle
229,229,departure,0,2,0,working
230,230,arrival,4,5,1,working
231,231,arrival,3,2,0,working
232,232,departure,4,5,1,idle
233,233,departure,3,5,1,working
234,234,arrival,0,8,0,idle
235,235,departure,1,8,1,working
236,236,departure,4,4,0,idle
237,237,departure,0,9,0,working
