time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,4,7,0,working
2,2,arrival,1,2,0,working
3,3,departure,2,3,0,idle
4,4,departure,4,3,1,working
5,5,arrival,1,0,1,working
6,6,arrival,2,0,0,idle
7,7,arrival,3,3,0,working
8,8,arrival,0,3,0,idle
9,9,arrival,0,0,1,working
10,10,departure,0,4,1,idle
11,11,arrival,2,5,1,working
12,12,departure,2,6,0,idle
13,13,departure,1,3,1,idle
14,14,departure,1,9,0,working
15,15,departure,4,8,1,working
16,16,arrival,0,0,1,idle
17,17,departure,4,4,1,working
18,18,departure,0,9,0,working
19,19,departure,1,7,1,idle
20,20,departure,4,6,0,working
21,21,departure,2,5,1,working
22,22,arrival,2,1,0,working
23,23,arrival,3,5,0,working
24,24,arrival,0,5,1,working
25,25,arrival,3,2,0,idle
26,26,arrival,4,0,0,working
27,27,arrival,4,1,0,idle
28,28,arrival,4,3,1,working
29,29,arrival,0,9,1,idle
30,30,arrival,0,1,0,working
31,31,arrival,4,8,0,working
32,32,arrival,3,4,0,idle
33,33,arrival,0,4,0,working
34,34,arrival,0,7,0,idle
35,35,arrival,3,7,1,working
36,36,departure,4,3,0,idle
37,37,departure,4,1,0,idle
38,38,departure,2,9,0,working
39,39,departure,3,6,1,working
40,40,arrival,0,5,0,working
41,41,arrival,3,6,1,working
42,42,arrival,2,7,0,idle
43,43,departure,2,2,0,idle
44,44,arrival,3,3,0,idle
45,45,arrival,1,4,0,working
46,46,departure,3,6,1,idle
47,47,arrival,1,9,1,working
48,48,departure,1,2,1,working
49,49,departure,0,8,1,working
50,50,arrival,4,7,0,idle
51,51,arrival,3,8,1,working
52,52,departure,3,6,1,working
53,53,arrival,3,5,0,idle
54,54,departure,4,3,1,working
55,55,departure,3,4,1,working
56,56,departure,2,3,1,idle
57,57,arrival,0,4,0,working
58,58,arrival,3,1,1,working
59,59,arrival,2,1,0,idle
60,60,departure,3,0,0,working
61,61,arrival,2,0,0,working
62,62,departure,1,4,1,working
63,63,arrival,4,0,0,idle
64,64,departure,1,4,0,idle
65,65,departure,3,6,0,working
66,66,departure,0,2,1,idle
67,67,arrival,1,8,1,idle
68,68,arrival,3,0,1,idle
69,69,departure,3,1,1,working
70,70,arrival,2,1,1,idle
71,71,departure,4,0,0,idle
72,72,departure,1,9,1,working
73,73,arrival,1,9,0,idle
74,74,arrival,2,9,0,idle
75,75,departure,0,5,1,idle
76,76,arrival,3,1,0,working
77,77,arrival,2,0,1,working
78,78,departure,1,0,0,working
79,79,departure,1,7,1,idle
80,80,arrival,4,5,0,idle
81,81,arrival,0,6,0,working
82,82,departure,3,0,1,idle
83,83,departure,1,6,1,idle
84,84,arrival,0,4,0,working
85,85,arrival,2,5,1,working
86,86,departure,1,3,0,working
87,87,arrival,2,6,0,idle
88,88,arrival,0,0,1,working
89,89,arrival,0,2,1,idle
90,90,departure,2,8,1,idle
91,91,arrival,1,1,0,idle
92,92,departure,3,7,0,working
93,93,departure,2,9,1,idle
94,94,departure,1,4,0,idle
95,95,arrival,0,4,1,idle
96,96,arrival,3,0,0,working
97,97,arrival,3,8,1,working
98,98,arrival,2,2,0,working
99,99,arrival,1,3,1,idle
100,100,arrival,2,9,0,working
101,101,arrival,1,2,1,working
102,102,arrival,2,9,1,working
103,103,arrival,4,6,0,idle
104,104,departure,2,6,0,idle
105,105,departure,1,3,1,working
106,106,arrival,4,7,1,idle
107,107,departure,3,0,1,working
108,108,departure,3,0,0,working
109,109,departure,0,6,1,idle
110,110,arrival,3,4,0,working
111,111,arrival,1,1,0,idle
112,112,departure,1,3,1,working
113,113,arrival,4,8,1,working
114,114,arrival,3,8,1,working
115,115,departure,4,5,0,working
116,116,departure,2,6,1,idle
117,117,departure,3,7,1,idle
118,118,arrival,4,0,1,working
119,119,arrival,3,5,0,working
120,120,arrival,0,6,1,working
121,121,departure,4,0,0,idle
122,122,departure,4,9,1,working
123,123,departure,4,8,0,working
124,124,departure,0,5,0,working
125,125,departure,3,9,1,working
126,126,departure,1,9,0,working
127,127,arrival,2,0,1,idle
128,128,arrival,3,4,0,working
129,129,departure,2,5,0,working
130,130,arrival,3,2,0,working
131,131,departure,0,3,1,idle
132,132,arrival,3,0,0,idle
133,133,arrival,0,8,0,idle
134,134,departure,1,8,1,idle
135,135,arrival,1,3,1,working
136,136,arrival,0,8,1,working
137,137,arrival,0,8,1,idle
138,138,departure,4,0,0,idle
139,139,departure,2,1,0,working
140,140,departure,2,0,0,working
141,141,arrival,3,9,1,idle
142,142,departure,1,8,1,idle
143,143,arrival,1,7,0,working
144,144,departure,2,4,0,idle
145,145,departure,3,1,0,idle
146,146,departure,4,9,0,idle
147,147,departure,4,4,1,idle
148,148,arrival,1,9,1,working
149,149,arrival,1,9,1,idle
150,150,arrival,0,7,1,idle
151,151,departure,1,0,1,idle
152,152,departure,4,3,1,idle
153,153,arrival,4,2,0,idle
154,154,departure,4,6,1,working
155,155,arrival,1,0,0,working
156,156,departure,4,4,0,idle
157,157,arrival,2,5,1,idle
158,158,departure,2,1,1,working
159,159,departure,1,9,0,working
160,160,arrival,1,5,0,idle
161,161,departure,2,1,0,idle
162,162,arrival,1,1,0,working
163,163,departure,3,4,0,working
164,164,arrival,2,6,0,idle
165,165,departure,1,9,1,working
166,166,departure,4,7,0,idle
167,167,arrival,2,7,0,idle
168,168,arrival,4,6,1,idle
169,169,arrival,2,0,1,working
170,170,departure,1,6,1,idle
171,171,departure,2,4,0,idle
172,172,departure,2,0,0,idle
173,173,departure,4,2,0,working
174,174,departure,2,1,0,working
175,175,departure,4,8,0,idle
176,176,departure,3,4,0,working
177,177,arrival,4,7,1,idle
178,178,arrival,0,9,0,working
179,179,arrival,1,9,0,idle
180,180,arrival,1,5,0,idle
181,181,arrival,0,1,1,idle
182,182,departure,2,1,1,idle
183,183,arrival,3,2,0,idle
184,184,arrival,4,8,1,idle
185,185,arrival,2,9,1,working
186,186,departure,3,9,1,idle
187,187,arrival,3,3,1,working
188,188,departure,1,9,1,working
189,189,arrival,2,8,0,working
190,190,departure,0,6,1,working
191,191,arrival,3,2,0,working
192,192,arrival,0,6,0,working
193,193,arrival,1,7,0,idle
194,194,departure,4,9,0,working
195,195,departure,2,2,1,working
196,196,departure,2,4,1,working
197,197,departure,0,9,1,idle
198,198,arrival,4,0,0,working
199,199,departure,3,2,1,working
200,200,arrival,3,7,1,working
201,201,departure,1,4,0,idle
202,202,arrival,4,8,1,idle
203,203,departure,2,4,1,idle
204,204,arrival,2,5,1,idle
205,205,departure,2,6,1,idle
206,206,arrival,4,0,0,idle
207,207,departure,1,7,0,working
208,208,departure,1,9,1,working
209,209,departure,0,8,0,idle
210,210,departure,1,0,0,working
211,211,arrival,0,6,1,idle
212,212,arrival,0,3,0,idle
213,213,departure,1,7,1,working
214,214,departure,4,8,1,idle
215,215,departure,0,7,1,idle
216,216,departure,3,9,0,working
217,217,departure,1,9,0,idle
218,218,arrival,0,3,0,working
219,219,departure,2,3,1,working
220,220,arrival,1,7,1,idle
221,221,arrival,0,7,0,working
222,222,arrival,3,5,1,working
223,223,departure,1,1,0,working
224,224,departure,2,1,1,idle
225,225,departure,2,1,1,working
226,226,departure,3,9,0,idle
227,227,arrival,2,2,1,idle
228,228,departure,1,3,0,working
229,229,arrival,4,1,1,working
230,230,arrival,2,3,1,working
231,231,arrival,3,3,0,working
232,232,arrival,3,6,1,working
233,233,arrival,2,1,1,working
234,234,arrival,3,3,1,idle
235,235,arrival,1,7,1,working
236,236,departure,4,3,0,idle
237,237,departure,0,5,0,working
238,238,arrival,0,9,1,idle
239,239,departure,1,6,1,working
240,240,departure,4,5,0,working
241,241,departure,0,0,1,working
242,242,departure,4,7,0,idle
243,243,arrival,1,9,0,idle
244,244,departure,0,9,1,working
245,245,departure,1,6,0,idle
246,246,departure,0,8,1,working
247,247,departure,1,1,0,idle
248,248,arrival,2,2,1,idle
249,249,departure,3,1,1,working
250,250,departure,4,6,0,working
251,251,departure,1,6,1,idle
252,252,departure,0,8,0,working
253,253,departure,3,4,0,working
254,254,arrival,3,2,1,working
255,255,departure,2,5,1,idle
256,256,arrival,3,6,0,idle
257,257,departure,1,0,1,working
258,258,departure,1,7,1,working
259,259,departure,2,7,1,working
260,260,arrival,3,6,1,idle
261,261,departure,3,7,1,idle
262,262,departure,0,5,1,working
