time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,4,8,1,working
2,2,departure,4,7,0,working
3,3,arrival,4,4,1,working
4,4,departure,0,0,1,working
5,5,departure,0,6,1,working
6,6,departure,3,9,0,idle
7,7,departure,2,8,1,working
8,8,arrival,4,1,1,idle
9,9,departure,2,9,1,working
10,10,departure,3,8,1,working
11,11,arrival,2,3,0,working
12,12,departure,2,2,1,idle
13,13,departure,3,3,0,working
14,14,arrival,4,8,0,working
15,15,departure,0,3,0,idle
16,16,departure,1,4,0,working
17,17,departure,2,3,1,working
18,18,departure,1,8,1,working
19,19,departure,2,4,1,idle
20,20,departure,2,2,0,idle
21,21,departure,0,2,0,working
22,22,arrival,2,8,0,idle
23,23,departure,1,0,1,working
24,24,departure,0,3,0,idle
25,25,departure,3,6,0,working
26,26,departure,3,7,0,idle
27,27,departure,3,7,0,idle
28,28,departure,0,3,1,idle
29,29,arrival,3,0,0,working
30,30,arrival,2,1,1,working
31,31,arrival,0,5,1,working
32,32,arrival,0,2,0,working
33,33,departure,4,1,0,idle
34,34,departure,3,3,1,working
35,35,departure,4,5,0,working
36,36,arrival,4,7,0,working
37,37,departure,4,6,0,idle
38,38,arrival,0,3,0,working
39,39,departure,2,7,1,idle
40,40,departure,1,3,0,working
41,41,arrival,0,2,0,working
42,42,arrival,2,0,0,idle
43,43,departure,1,8,0,idle
44,44,arrival,0,9,1,idle
45,45,departure,3,0,0,idle
46,46,departure,0,8,1,idle
47,47,arrival,2,1,1,working
48,48,departure,3,0,0,working
49,49,arrival,0,4,1,working
50,50,arrival,1,2,1,idle
51,51,departure,1,7,0,working
52,52,departure,4,1,0,working
53,53,departure,3,6,0,idle
54,54,departure,0,7,1,working
55,55,arrival,1,9,1,idle
56,56,departure,4,2,0,working
57,57,arrival,2,5,1,working
58,58,arrival,3,1,1,idle
59,59,departure,0,7,1,working
60,60,arrival,0,1,1,working
61,61,departure,0,1,0,idle
62,62,departure,0,0,0,idle
63,63,departure,3,4,1,idle
64,64,arrival,3,3,0,idle
65,65,departure,0,6,0,working
66,66,arrival,0,5,1,working
67,67,arrival,4,5,0,working
68,68,departure,0,5,0,working
69,69,arrival,0,1,0,idle
70,70,arrival,1,1,0,idle
71,71,departure,1,7,1,working
72,72,departure,1,3,0,working
73,73,arrival,4,8,0,working
74,74,departure,2,3,1,working
75,75,arrival,0,7,0,idle
76,76,arrival,1,0,0,idle
77,77,departure,1,4,0,working
78,78,arrival,3,9,1,idle
79,79,arrival,0,7,1,working
80,80,arrival,4,0,0,working
81,81,arrival,1,4,0,working
82,82,departure,1,0,0,idle
83,83,arrival,0,7,0,idle
84,84,departure,2,9,1,idle
85,85,departure,1,3,1,idle
86,86,arrival,1,1,0,working
87,87,departure,4,5,1,working
88,88,departure,1,7,1,working
