time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,0,7,1,idle
2,2,arrival,1,1,0,idle
3,3,departure,1,1,1,working
4,4,departure,4,3,0,working
5,5,arrival,4,4,0,idle
6,6,arrival,3,0,1,working
7,7,departure,3,1,0,working
8,8,arrival,4,5,0,working
9,9,departure,3,1,1,working
10,10,arrival,3,1,1,working
11,11,departure,2,3,0,working
12,12,arrival,0,5,0,working
13,13,arrival,2,6,0,working
14,14,arrival,3,4,1,working
15,15,arrival,1,0,0,working
16,16,departure,2,4,0,idle
17,17,departure,1,0,0,idle
18,18,arrival,4,6,1,idle
19,19,departure,3,4,0,working
20,20,arrival,0,0,0,working
21,21,departure,2,6,1,idle
22,22,departure,2,6,0,working
23,23,departure,2,7,0,idle
24,24,arrival,0,7,1,working
25,25,arrival,3,2,1,working
26,26,arrival,1,4,0,idle
27,27,departure,3,8,0,working
28,28,departure,0,8,1,idle
29,29,departure,3,2,1,working
30,30,departure,3,6,1,idle
31,31,departure,0,8,0,idle
32,32,arrival,0,0,0,idle
33,33,arrival,4,3,1,working
34,34,arrival,3,3,0,idle
35,35,arrival,1,7,0,idle
36,36,arrival,1,8,0,working
37,37,arrival,1,4,0,working
38,38,departure,0,3,1,idle
39,39,arrival,1,7,1,idle
40,40,arrival,4,8,1,working
41,41,arrival,0,9,1,working
42,42,departure,3,3,1,working
43,43,departure,2,7,0,working
44,44,departure,2,0,1,working
45,45,departure,4,6,0,working
46,46,departure,2,5,1,idle
47,47,arrival,3,7,0,idle
48,48,departure,1,1,0,idle
49,49,departure,4,7,1,working
50,50,arrival,3,2,0,idle
51,51,departure,4,1,0,working
52,52,departure,3,1,1,working
53,53,departure,1,2,0,working
54,54,arrival,2,5,1,idle
55,55,departure,0,1,1,working
56,56,departure,0,1,1,working
57,57,departure,2,3,1,idle
58,58,departure,4,5,0,working
59,59,departure,3,8,1,idle
60,60,arrival,1,0,1,idle
61,61,departure,0,9,1,working
62,62,arrival,4,3,1,idle
63,63,arrival,2,4,0,working
64,64,arrival,1,4,0,idle
65,65,departure,4,0,1,idle
66,66,arrival,3,3,1,working
67,67,departure,3,4,1,idle
68,68,arrival,2,4,1,idle
69,69,arrival,4,2,1,working
70,70,arrival,2,2,0,working
71,71,arrival,0,7,1,idle
72,72,arrival,0,0,0,idle
73,73,arrival,0,2,1,working
74,74,departure,0,4,1,idle
75,75,arrival,3,1,0,working
76,76,arrival,0,9,1,working
77,77,departure,0,9,0,idle
78,78,departure,4,6,1,working
79,79,arrival,0,5,1,idle
80,80,departure,1,5,0,idle
81,81,arrival,1,4,1,idle
82,82,arrival,0,0,0,working
83,83,departure,4,6,0,idle
84,84,departure,2,2,1,idle
85,85,arrival,2,7,1,working
86,86,arrival,3,6,0,idle
87,87,departure,0,0,0,idle
88,88,departure,0,7,0,idle
89,89,arrival,1,6,0,idle
90,90,arrival,0,9,1,idle
91,91,departure,3,1,0,working
92,92,arrival,2,6,1,working
93,93,departure,3,3,1,working
94,94,departure,2,8,0,working
95,95,departure,0,9,1,working
96,96,arrival,1,6,0,idle
97,97,departure,1,1,0,working
98,98,departure,1,3,0,idle
99,99,arrival,3,5,1,working
100,100,departure,1,5,1,working
101,101,arrival,3,8,0,working
102,102,arrival,0,7,1,working
103,103,arrival,2,8,1,working
104,104,departure,2,3,1,idle
105,105,arrival,0,6,0,working
106,106,arrival,0,7,0,working
107,107,arrival,0,7,0,idle
108,108,departure,0,2,1,idle
109,109,arrival,1,6,1,working
110,110,arrival,0,3,1,working
111,111,departure,4,1,1,idle
112,112,arrival,0,3,1,working
113,113,arrival,3,5,0,idle
114,114,departure,3,9,0,working
115,115,arrival,4,9,0,working
116,116,departure,1,7,1,working
117,117,arrival,4,1,0,idle
118,118,arrival,2,4,1,working
119,119,departure,3,2,1,working
120,120,arrival,1,8,0,working
121,121,arrival,1,8,1,idle
122,122,departure,4,9,1,idle
123,123,arrival,2,3,1,working
124,124,departure,0,2,1,idle
125,125,departure,4,2,0,idle
126,126,departure,0,2,0,working
127,127,arrival,1,2,0,working
128,128,arrival,3,3,1,idle
129,129,arrival,4,2,1,working
130,130,arrival,4,9,0,idle
131,131,departure,4,8,0,idle
132,132,departure,0,8,1,working
133,133,departure,4,7,1,working
134,134,arrival,4,4,1,working
135,135,arrival,0,3,1,idle
136,136,departure,2,2,1,working
137,137,arrival,0,5,1,working
138,138,departure,3,8,1,working
139,139,departure,3,5,0,working
140,140,arrival,4,6,1,idle
141,141,departure,0,5,1,idle
142,142,departure,0,1,1,idle
143,143,departure,1,8,0,idle
144,144,arrival,2,3,0,working
145,145,departure,4,6,1,working
146,146,departure,2,8,1,working
147,147,arrival,4,1,0,working
148,148,arrival,2,2,0,working
149,149,arrival,1,0,0,working
150,150,arrival,1,8,0,working
151,151,arrival,2,1,0,idle
