time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,4,3,0,idle
2,2,departure,2,9,0,working
3,3,departure,1,4,1,idle
4,4,arrival,3,7,0,working
5,5,departure,2,9,0,working
6,6,arrival,2,8,1,idle
7,7,arrival,3,7,0,idle
8,8,arrival,3,7,1,working
9,9,departure,0,7,1,idle
10,10,arrival,3,6,1,idle
11,11,departure,0,9,0,idle
12,12,departure,3,4,0,idle
13,13,arrival,1,5,0,idle
14,14,departure,3,0,1,working
15,15,departure,1,2,0,idle
16,16,departure,0,0,0,working
17,17,departure,4,9,1,working
18,18,arrival,4,9,1,idle
19,19,departure,1,2,1,idle
20,20,departure,2,6,1,working
21,21,arrival,2,4,1,working
22,22,departure,1,4,1,working
23,23,arrival,2,8,0,working
24,24,departure,4,6,0,idle
25,25,arrival,4,4,0,idle
26,26,arrival,4,9,1,working
27,27,arrival,0,0,1,working
28,28,arrival,4,0,1,idle
29,29,arrival,0,4,0,working
30,30,arrival,0,2,0,working
31,31,departure,0,6,0,working
32,32,departure,4,4,0,working
33,33,departure,3,9,1,working
34,34,departure,4,6,0,idle
35,35,arrival,4,1,0,working
36,36,departure,2,8,1,working
37,37,departure,3,2,1,idle
38,38,arrival,2,4,1,idle
39,39,departure,4,0,1,idle
40,40,arrival,1,4,1,idle
41,41,arrival,2,0,1,working
42,42,arrival,2,1,1,idle
43,43,departure,1,7,1,idle
44,44,arrival,0,4,0,idle
45,45,departure,1,0,1,idle
46,46,departure,3,4,1,idle
47,47,arrival,2,3,1,working
48,48,departure,3,4,1,working
49,49,departure,0,8,1,working
50,50,departure,0,7,1,working
51,51,departure,1,9,0,idle
52,52,departure,1,3,0,idle
53,53,arrival,2,4,1,working
54,54,arrival,1,0,0,working
55,55,arrival,3,8,1,working
56,56,departure,1,1,0,idle
57,57,departure,0,7,0,idle
58,58,arrival,2,6,0,idle
59,59,arrival,4,1,1,working
60,60,arrival,1,4,0,working
61,61,departure,1,3,1,working
62,62,departure,3,8,0,idle
63,63,departure,0,7,0,idle
64,64,arrival,3,4,1,idle
65,65,departure,2,9,1,working
66,66,arrival,3,8,1,idle
67,67,departure,1,4,0,idle
68,68,departure,4,0,1,working
69,69,departure,4,9,0,idle
70,70,departure,3,8,1,working
71,71,departure,4,6,1,idle
72,72,departure,3,2,1,idle
73,73,departure,3,0,0,working
74,74,arrival,1,3,0,working
75,75,departure,2,8,0,idle
76,76,arrival,4,9,1,idle
77,77,departure,1,0,1,working
78,78,arrival,3,0,0,idle
