time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,3,2,1,idle
2,2,departure,0,1,0,working
3,3,departure,3,7,1,idle
4,4,arrival,0,3,0,working
5,5,departure,1,9,0,idle
6,6,arrival,0,7,1,working
7,7,arrival,3,8,0,working
8,8,arrival,3,5,1,idle
9,9,arrival,4,8,1,idle
10,10,arrival,1,3,0,idle
11,11,arrival,1,2,1,idle
12,12,arrival,3,5,1,idle
13,13,arrival,1,2,1,idle
14,14,departure,0,1,1,working
15,15,arrival,4,8,0,working
16,16,arrival,1,4,0,working
17,17,departure,0,2,1,working
18,18,arrival,0,7,0,idle
19,19,arrival,3,5,1,idle
20,20,departure,4,1,0,working
21,21,arrival,0,2,0,working
22,22,departure,4,9,1,working
23,23,arrival,3,2,1,idle
24,24,arrival,3,6,1,idle
25,25,departure,1,3,1,working
26,26,arrival,0,7,0,working
27,27,arrival,1,0,0,idle
28,28,arrival,0,9,1,working
29,29,departure,1,1,0,idle
30,30,arrival,1,3,0,idle
31,31,arrival,3,0,1,idle
32,32,departure,3,1,0,working
33,33,departure,1,3,1,idle
34,34,arrival,1,7,1,idle
35,35,arrival,3,9,0,working
36,36,arrival,1,8,1,idle
37,37,departure,3,1,1,idle
38,38,arrival,4,7,1,working
39,39,arrival,1,3,1,working
40,40,departure,4,2,0,idle
41,41,departure,2,3,0,idle
42,42,arrival,0,8,1,working
43,43,arrival,2,4,1,working
44,44,departure,4,6,1,working
45,45,departure,1,3,0,idle
46,46,arrival,0,4,1,idle
47,47,departure,3,6,0,idle
48,48,arrival,1,1,1,idle
49,49,departure,3,5,1,idle
50,50,arrival,1,7,1,working
51,51,departure,0,0,0,idle
52,52,arrival,0,6,0,idle
53,53,arrival,4,1,0,working
54,54,arrival,1,5,0,working
55,55,arrival,0,0,1,idle
56,56,arrival,4,1,0,working
57,57,departure,1,3,1,working
58,58,arrival,4,3,0,idle
59,59,arrival,3,7,1,idle
60,60,arrival,1,6,1,working
61,61,departure,0,3,1,idle
62,62,arrival,0,5,0,idle
63,63,arrival,0,3,0,idle
64,64,departure,1,8,0,idle
65,65,arrival,3,4,1,working
66,66,departure,3,5,1,idle
67,67,departure,4,3,0,idle
68,68,arrival,2,3,0,idle
69,69,arrival,1,2,1,working
70,70,departure,0,1,0,working
71,71,departure,2,4,0,idle
72,72,departure,1,5,0,working
73,73,arrival,3,6,0,idle
74,74,departure,4,3,0,working
75,75,departure,0,3,1,working
76,76,arrival,1,2,1,idle
77,77,arrival,1,7,1,idle
78,78,arrival,2,8,1,working
79,79,arrival,2,3,0,working
80,80,departure,3,4,0,idle
81,81,departure,1,4,1,working
82,82,arrival,0,8,0,working
83,83,arrival,4,9,1,idle
84,84,departure,3,2,1,idle
85,85,departure,1,2,1,working
86,86,departure,2,6,0,idle
87,87,arrival,3,5,0,idle
88,88,departure,2,4,0,idle
89,89,arrival,2,0,0,working
90,90,departure,3,1,0,idle
91,91,departure,4,8,0,idle
92,92,arrival,3,0,0,idle
93,93,departure,0,7,0,idle
94,94,arrival,3,9,0,working
95,95,departure,4,7,0,working
96,96,arrival,4,3,0,working
97,97,arrival,1,1,1,idle
98,98,departure,4,0,1,idle
99,99,arrival,2,4,0,idle
100,100,arrival,2,4,0,working
101,101,departure,1,1,0,idle
