time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,arrival,3,8,0,working
2,2,departure,0,7,1,idle
3,3,departure,4,7,0,idle
4,4,departure,2,1,0,working
5,5,arrival,3,2,1,idle
6,6,arrival,2,1,1,idle
7,7,arrival,2,1,1,working
8,8,departure,1,7,1,idle
9,9,arrival,0,8,0,working
10,10,departure,0,6,1,idle
11,11,arrival,0,6,1,idle
12,12,departure,0,5,0,working
13,13,departure,2,5,1,idle
14,14,arrival,0,3,0,working
15,15,departure,4,1,1,working
16,16,departure,3,3,1,idle
17,17,departure,1,8,1,working
18,18,departure,1,2,0,working
19,19,departure,0,9,1,idle
20,20,arrival,0,1,0,idle
21,21,departure,1,2,0,idle
22,22,departure,3,1,1,working
23,23,departure,4,4,1,working
24,24,arrival,4,0,0,idle
25,25,arrival,0,8,1,working
26,26,arrival,2,3,1,idle
27,27,departure,2,2,1,idle
28,28,arrival,2,2,1,working
29,29,arrival,1,4,1,idle
30,30,arrival,0,8,1,working
31,31,arrival,1,8,0,working
32,32,arrival,2,9,0,idle
33,33,arrival,4,0,0,idle
34,34,arrival,4,7,1,working
35,35,departure,4,6,1,working
36,36,departure,1,5,1,idle
37,37,departure,3,0,0,idle
38,38,departure,0,4,1,working
39,39,departure,4,2,0,idle
40,40,departure,3,5,0,working
41,41,departure,4,6,0,working
42,42,departure,2,1,1,idle
43,43,arrival,1,1,1,working
44,44,departure,2,8,1,idle
45,45,departure,3,5,0,working
46,46,arrival,2,6,1,idle
47,47,arrival,4,0,0,working
48,48,departure,4,5,0,working
49,49,arrival,2,9,0,idle
50,50,departure,0,8,0,working
51,51,arrival,4,6,0,working
52,52,arrival,4,8,1,working
53,53,arrival,4,8,0,working
54,54,arrival,4,7,1,idle
55,55,departure,2,7,0,working
56,56,departure,3,9,0,idle
57,57,departure,3,8,0,idle
58,58,departure,4,9,1,working
59,59,arrival,3,3,0,idle
60,60,arrival,4,7,1,idle
61,61,departure,3,8,1,idle
62,62,arrival,3,2,1,idle
63,63,arrival,3,3,0,idle
64,64,departure,4,3,1,idle
65,65,arrival,4,4,0,working
66,66,departure,0,5,0,working
67,67,departure,4,7,1,idle
68,68,arrival,2,0,1,working
69,69,departure,1,9,0,idle
70,70,departure,3,2,0,working
71,71,departure,0,0,1,working
72,72,departure,0,0,0,working
73,73,arrival,2,5,0,working
74,74,departure,1,7,1,idle
75,75,departure,3,4,0,idle
76,76,departure,4,8,0,working
77,77,arrival,3,6,0,working
78,78,departure,4,7,1,idle
79,79,departure,2,8,1,idle
80,80,arrival,2,8,1,working
81,81,arrival,1,0,0,idle
82,82,arrival,1,3,1,working
83,83,departure,1,0,1,idle
84,84,departure,4,1,1,working
85,85,departure,3,5,0,idle
86,86,departure,4,1,0,idle
87,87,arrival,4,0,1,working
88,88,departure,3,9,0,idle
89,89,departure,2,6,1,idle
90,90,arrival,0,1,1,idle
91,91,departure,2,1,0,idle
92,92,arrival,1,7,1,idle
93,93,arrival,2,1,0,idle
94,94,arrival,0,0,1,idle
95,95,departure,1,6,1,idle
96,96,departure,2,2,1,idle
97,97,arrival,3,1,1,working
98,98,arrival,2,5,1,working
99,99,departure,3,0,0,idle
100,100,arrival,4,3,0,working
101,101,arrival,0,9,0,idle
102,102,departure,3,6,0,working
103,103,arrival,1,0,0,idle
104,104,departure,1,2,1,working
105,105,arrival,4,1,0,working
106,106,departure,1,1,1,working
107,107,arrival,0,7,1,working
108,108,arrival,3,4,1,working
109,109,arrival,0,0,1,idle
110,110,departure,4,3,1,working
111,111,arrival,4,0,1,working
112,112,arrival,1,3,1,idle
113,113,arrival,3,0,1,idle
114,114,departure,2,2,0,idle
115,115,arrival,2,2,0,idle
116,116,departure,2,2,0,idle
117,117,departure,1,5,1,idle
118,118,departure,4,1,1,working
119,119,departure,4,7,0,working
120,120,arrival,4,8,1,idle
121,121,departure,3,3,1,working
122,122,arrival,1,9,1,working
123,123,departure,0,0,1,idle
124,124,departure,1,9,1,working
125,125,arrival,3,3,1,idle
126,126,departure,4,6,1,idle
127,127,arrival,4,3,0,working
128,128,arrival,2,0,0,idle
