time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,3,9,1,idle
2,2,arrival,4,3,0,working
3,3,departure,3,9,0,idle
4,4,arrival,1,4,1,idle
5,5,departure,4,8,1,idle
6,6,departure,4,4,1,idle
7,7,departure,1,1,0,idle
8,8,departure,1,6,0,working
9,9,departure,1,4,0,working
10,10,departure,2,9,1,idle
11,11,departure,1,9,1,working
12,12,departure,3,3,0,working
13,13,arrival,0,0,1,working
14,14,arrival,3,3,0,idle
15,15,departure,0,0,0,working
16,16,arrival,1,8,0,idle
17,17,arrival,3,4,0,idle
18,18,departure,0,6,0,working
19,19,departure,4,6,0,working
20,20,arrival,4,7,1,working
21,21,arrival,4,3,0,working
22,22,arrival,4,4,1,idle
23,23,departure,3,6,1,idle
24,24,departure,1,1,1,idle
25,25,departure,3,9,1,working
26,26,departure,0,3,0,idle
27,27,departure,0,4,0,working
28,28,departure,4,4,1,working
29,29,arrival,2,4,1,idle
30,30,departure,4,4,0,working
31,31,arrival,3,4,0,idle
32,32,departure,4,7,1,working
33,33,departure,0,2,0,working
34,34,departure,4,9,0,working
35,35,departure,4,8,0,working
36,36,arrival,4,0,0,idle
37,37,departure,1,7,1,idle
38,38,arrival,1,5,0,working
39,39,departure,3,9,0,idle
40,40,departure,1,7,0,working
41,41,departure,3,5,0,working
42,42,arrival,3,8,0,idle
43,43,departure,3,8,1,idle
44,44,arrival,1,0,1,working
45,45,arrival,3,4,0,idle
46,46,arrival,1,5,1,idle
47,47,arrival,1,1,1,idle
48,48,arrival,3,1,1,idle
49,49,arrival,1,3,1,idle
50,50,departure,1,8,1,working
51,51,departure,1,3,1,idle
52,52,arrival,2,1,1,idle
53,53,departure,3,2,0,working
54,54,arrival,4,6,0,idle
55,55,arrival,3,3,1,working
56,56,arrival,1,7,0,idle
57,57,departure,2,7,0,idle
58,58,arrival,0,5,0,working
59,59,departure,0,4,0,working
60,60,departure,0,8,0,working
61,61,arrival,2,2,0,working
62,62,arrival,4,2,1,idle
63,63,departure,1,1,0,working
64,64,arrival,4,5,0,idle
65,65,departure,3,9,0,working
66,66,departure,3,3,0,working
